className,description,file,line,method,priority,rule,ruleset,variable
Main,"This utility class has a non-private constructor","streamconverter-core/src/main/java/com/streamConverter/Main.java",18,,3,UseUtilityClass,Design,
Main,"Local variable 'commands' could be declared final","streamconverter-core/src/main/java/com/streamConverter/Main.java",29,main,3,"LocalVariableCouldBeFinal","Code Style",commands
Main,"Local variable 'converter' could be declared final","streamconverter-core/src/main/java/com/streamConverter/Main.java",32,main,3,"LocalVariableCouldBeFinal","Code Style",converter
Main,"Logger calls should be surrounded by log level guards.","streamconverter-core/src/main/java/com/streamConverter/Main.java",36,main,2,GuardLogStatement,"Best Practices",
Main,"Logger calls should be surrounded by log level guards.","streamconverter-core/src/main/java/com/streamConverter/Main.java",38,main,2,GuardLogStatement,"Best Practices",
StreamConverter,"Package name contains upper case characters","streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",1,,3,PackageCase,"Code Style",
StreamConverter,"Avoid excessively long variable names like DEFAULT_BUFFER_SIZE","streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",31,,3,LongVariable,"Code Style",DEFAULT_BUFFER_SIZE
StreamConverter,"Field 'commands' may be declared final","streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",32,,3,ImmutableField,Design,commands
StreamConverter,"Consider using varargs for methods or constructors which take an array the last parameter.","streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",42,StreamConverter,4,UseVarargs,"Best Practices",commands
StreamConverter,"Parameter 'commands' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",42,StreamConverter,3,"MethodArgumentCouldBeFinal","Code Style",commands
StreamConverter,"Parameter 'commands' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",57,StreamConverter,3,"MethodArgumentCouldBeFinal","Code Style",commands
StreamConverter,"Parameter 'commands' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",73,create,3,"MethodArgumentCouldBeFinal","Code Style",commands
StreamConverter,"Parameter 'commands' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",85,create,3,"MethodArgumentCouldBeFinal","Code Style",commands
StreamConverter,"Parameter 'context' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",100,createWithContext,3,"MethodArgumentCouldBeFinal","Code Style",context
StreamConverter,"Parameter 'commands' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",100,createWithContext,3,"MethodArgumentCouldBeFinal","Code Style",commands
StreamConverter,"Local variable 'converter' could be declared final","streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",102,createWithContext,3,"LocalVariableCouldBeFinal","Code Style",converter
StreamConverter,"Parameter 'context' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",118,createWithContext,3,"MethodArgumentCouldBeFinal","Code Style",context
StreamConverter,"Parameter 'commands' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",118,createWithContext,3,"MethodArgumentCouldBeFinal","Code Style",commands
StreamConverter,"Local variable 'converter' could be declared final","streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",120,createWithContext,3,"LocalVariableCouldBeFinal","Code Style",converter
StreamConverter,"Local variable 'availableCores' could be declared final","streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",131,createOptimalExecutor,3,"LocalVariableCouldBeFinal","Code Style",availableCores
StreamConverter,"Local variable 'optimalSize' could be declared final","streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",132,createOptimalExecutor,3,"LocalVariableCouldBeFinal","Code Style",optimalSize
StreamConverter,"Parameter 'inputStream' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",144,run,3,"MethodArgumentCouldBeFinal","Code Style",inputStream
StreamConverter,"Parameter 'outputStream' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",144,run,3,"MethodArgumentCouldBeFinal","Code Style",outputStream
StreamConverter,"Local variable 'contextToUse' could be declared final","streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",147,run,3,"LocalVariableCouldBeFinal","Code Style",contextToUse
StreamConverter,"Parameter 'inputStream' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",162,run,3,"MethodArgumentCouldBeFinal","Code Style",inputStream
StreamConverter,"Parameter 'outputStream' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",162,run,3,"MethodArgumentCouldBeFinal","Code Style",outputStream
StreamConverter,"Parameter 'context' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",162,run,3,"MethodArgumentCouldBeFinal","Code Style",context
StreamConverter,"Logger calls should be surrounded by log level guards.","streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",171,run,2,GuardLogStatement,"Best Practices",
StreamConverter,"The method 'executeMultipleCommandsWithMDC(InputStream, OutputStream, ExecutionContext)' has a NCSS line count of 63.","streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",181,"executeMultipleCommandsWithMDC",3,NcssCount,Design,
StreamConverter,"The method 'executeMultipleCommandsWithMDC(InputStream, OutputStream, ExecutionContext)' has a cognitive complexity of 23, current threshold is 15","streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",181,"executeMultipleCommandsWithMDC",3,CognitiveComplexity,Design,
StreamConverter,"The method 'executeMultipleCommandsWithMDC(InputStream, OutputStream, ExecutionContext)' has a cyclomatic complexity of 16.","streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",181,"executeMultipleCommandsWithMDC",3,CyclomaticComplexity,Design,
StreamConverter,"Parameter 'inputStream' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",182,"executeMultipleCommandsWithMDC",3,"MethodArgumentCouldBeFinal","Code Style",inputStream
StreamConverter,"Parameter 'outputStream' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",182,"executeMultipleCommandsWithMDC",3,"MethodArgumentCouldBeFinal","Code Style",outputStream
StreamConverter,"Parameter 'context' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",182,"executeMultipleCommandsWithMDC",3,"MethodArgumentCouldBeFinal","Code Style",context
StreamConverter,"Ensure that resources like this ExecutorService object are closed after use","streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",184,"executeMultipleCommandsWithMDC",3,CloseResource,"Error Prone",executor
StreamConverter,"Local variable 'executor' could be declared final","streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",184,"executeMultipleCommandsWithMDC",3,"LocalVariableCouldBeFinal","Code Style",executor
StreamConverter,"Local variable 'futures' could be declared final","streamconverter-core/src/main/java/com/streamConverter/StreamConverter.java",185,"executeMultipleCommandsWithMDC",3,"LocalVariableCouldBeFinal","Code Style",futures
